suburb,postcode,local_density_score,neighbor_density_score,latitude,longitude
DELACOMBE,3356,31.5,262.6764706,-37.592283,143.82846
DELBURN,3871,11,27.16666667,-38.42207,146.158866
DELEGATE RIVER,3888,24,0,-37.10937561,148.812726
DELEGATE RIVER EAST,3888,26,0,-37.39051,148.660943
DENDY,3186,70.5,76.5106383,-37.915066,144.996329
DEVILS RIVER,3714,9.5,35.44444444,-37.18897433,145.8060118
DEWHURST,3808,106,108.3238636,-38.002518,145.42327
DIAMOND CREEK,3089,58.5,82.08333333,-37.667713,145.150369
DIGBY,3309,51,49,-37.82644,141.511007
DIGGERS REST,3427,140,91.64563107,-37.643461,144.707974
DOCKLANDS,3008,2,86.47916667,-37.814719,144.948039
DOCTORS FLAT,3895,42,22.9,-37.379331,147.887515
DOMAIN ROAD PO,3141,16,82.66497462,-37.840679,144.991264
DONCASTER,3108,106.5,84.07345972,-37.786429,145.125797
DONCASTER EAST,3109,63,81.97794118,-37.784786,145.161649
DONVALE,3111,73,82.57635468,-37.794054,145.186334
DOOKIE COLLEGE,3647,266.5,80.69230769,-36.385331,145.704473
DOUGLAS,3401,162.5,65.91666667,-36.881534,141.940832
DROUIN,3818,48,33.11764706,-38.096289,145.867337
DRUMCONDRA,3215,28.5,124.6935484,-38.111002,144.33452
DRUMMARTIN,3570,32,48.25,-36.515303,144.28053
DUCHEMBEGARRA,3409,8,30.7,-36.60694604,141.9140027
DURHAM OX,3576,49,56,-36.128029,143.917515
DUVERNEY,3323,226,418.25,-38.026314,143.520934
EAGLE POINT,3878,3.5,58.16666667,-37.898544,147.680121
EAST SALE,3852,37.5,98.25,-38.10361729,147.1414369
EAST SALE RAAF,3852,67,79.35714286,-38.106731,147.134356
EASTERN VIEW,3231,100,88.125,-38.459435,144.106892
EASTWOOD,3875,37.5,49.38461538,-37.81289131,147.63201
EDI UPPER,3678,35.5,44.14285714,-36.68892,146.482439
EILDON,3713,32,26.5,-37.241527,145.90623
ELDORADO,3746,27.5,61.27272727,-36.31396,146.51767
ELIZABETH ISLAND,3921,23.5,73.96153846,-38.41571044,145.3687444
ELPHINSTONE,3448,23.5,45.33333333,-37.075364,144.387629
ELWOOD,3184,24.5,79.94102564,-37.881414,144.984034
ENDEAVOUR HILLS,3802,58,84.590625,-37.971763,145.255599
ENOCHS POINT,3723,23,18.875,-37.41855045,146.1186202
EPPING DC,3076,177.5,82.43902439,-37.643598,145.022137
ESMOND,3730,61,45.875,-36.051782,145.974755
ESSENDON NORTH,3041,69.5,86.17213115,-37.731464,144.904815
ESSENDON WEST,3040,53,87.1356383,-37.751845,144.902556
EUMEMMERRING,3177,47.5,86.31699346,-37.990985,145.237462
EUROBIN,3739,4,26.375,-36.641016,146.864194
EYNESBURY,3338,62,121.3796296,-37.705529,144.571033
FAWKNER,3060,301,84.67819149,-37.707326,144.967874
FERN HILL,3458,48.5,62.95833333,-37.424116,144.33471
FERNY CREEK,3786,36.5,91.92957746,-37.878188,145.332431
FIELDSTONE,3024,137.5,88.3,-37.75045631,144.649936
FITZROY,3065,8,84.865,-37.802608,144.977795
FLINDERS,3929,18.5,57.84,-38.460965,144.976673
FLINDERS LANE,8009,64.5,84.89393939,-37.817201,144.964531
FLYNNS CREEK,3844,30,52.42307692,-38.316869,146.607101
FORBES,3764,28,32.52941176,-37.263736,144.900644
FORREST,3236,168,120.9117647,-38.521903,143.712384
FOUNTAIN GATE,3805,157.5,97.85238095,-38.037026,145.304198
FRANKSTON HEIGHTS,3199,167,84.28461538,-38.162578,145.135961
FRASER RISE,3336,44,91.19512195,-37.70482231,144.7126219
FREEBURGH,3741,232,89.625,-36.962316,147.063163
FRESHWATER CREEK,3216,83,111.3448276,-38.215906,144.334005
FYANSFORD,3218,96,122.9677419,-38.13028025,144.2894883
GAINSBOROUGH,3822,30.5,22.85294118,-38.194379,145.989901
GARDENVALE,3185,34.5,78.12886598,-37.891841,145.002571
GARFIELD,3814,57.5,75.19047619,-38.10718,145.669112
GEELONG WEST,3218,65.5,125.765625,-38.138728,144.330986
GEMBROOK,3783,70.5,123.3068182,-37.947379,145.596576
GEORGES CREEK,3700,38,30.25,-36.15063277,147.2581548
GERAHMIN,3546,4,8.166666667,-35.17251379,142.79978
GERANGAMETE,3243,205.5,122.1666667,-38.364034,143.82588
GERMANIA,3381,2,13.58823529,-36.988914,142.7154
GERRIGERRUP,3289,14,160.45,-37.99193127,142.1980995
GIFFARD,3850,64,39.75,-38.224191,147.106181
GIL GIL,3480,16,29.85714286,-36.32166578,143.0409276
GILLUM,3858,4,40,-37.7535504,146.7352987
GIPPSLAND MC,3841,15,25.0625,-37.5832,147.463
GIRGARRE,3624,42,41.55555556,-36.410186,144.965763
GIRGARRE EAST,3616,88,74.64705882,-36.464118,145.145217
GLEN FORBES,3990,88,65.625,-38.455399,145.501279
GLEN HUNTLY,3163,26,79.55825243,-37.896497,145.057237
GLEN WAVERLEY,3150,81,79.36989796,-37.876968,145.170841
GLENBURN,3717,215,39,-37.286611,145.435776
GLENDONALD,3364,117,127,-37.36045587,143.8443538
GLENFALLOCH,3858,16,20.9375,-37.69372058,146.6296585
GLENGARRY,3854,41.5,63.72727273,-38.12413,146.596877
GLENHOPE EAST,3522,12,38.20833333,-37.07349322,144.7011112
GLENROWAN,3675,87.5,69.8,-36.565078,146.266835
GLENROY,3046,121,86.40710383,-37.706578,144.927968
GOBARUP,3559,16,43.5,-36.67769551,144.8712631
GOBUR,3719,65.5,204.2222222,-37.041215,145.608491
GOLDEN GULLY,3555,117.5,54.875,-36.777226,144.245239
GOLDIE,3435,54,40.88235294,-37.179453,144.743358
GORDON,3345,109,225.3125,-37.5878,144.123664
GORMANDALE,3873,18,53.36363636,-38.298267,146.708775
GOROKE,3412,131,115.6666667,-36.658804,141.366071
GOWANBRAE,3043,57,84.32163743,-37.691916,144.888368
GOWER,3451,16,53.85714286,-37.125338,144.21419
GRAHAMVALE,3631,103.5,114.5,-36.428694,145.526693
GRAMPIANS,3314,81.5,260.8333333,-37.34896421,142.329907
GRAND RIDGE,3870,14,29.46875,-38.47229711,146.3992787
GRANITE FLAT,3525,34,97.78571429,-36.21412082,143.1316318
GRANTVILLE,3984,147,69.5,-38.312647,145.563979
GRAYS BRIDGE,3477,2,8.25,-36.61840529,142.8997503
GREENDALE,3341,180,90.20588235,-37.573711,144.308232
GREENVALE,3059,162.5,85.38157895,-37.639887,144.879626
GREY RIVER,3221,30,78.7,-38.181608,144.427419
GREYTHORN,3104,29.5,85.11556604,-37.793695,145.081714
GRUYERE,3770,85,115.1164384,-37.708784,145.416004
GUNBOWER,3566,70,41.5,-35.945748,144.383334
HALLAM,3803,93,90.28,-38.009435,145.265524
HAMILTON,3300,662,280.6875,-37.743155,142.013356
HAMPTON NORTH,3188,133,75.80167598,-37.938889,145.007238
HAMPTON PARK,3976,157,96.47115385,-38.043995,145.264296
HAPPY VALLEY,3351,445.5,433.3846154,-37.758248,143.637463
HARKAWAY,3806,55.5,103.2,-38.025018,145.349488
HARKNESS,3337,184,124.3333333,-37.65724033,144.5462424
HARROW,3317,197.5,248.875,-37.166673,141.451647
HAVILAH,3737,11,21.5,-36.623195,146.8967591
HAWKHURST,3862,10,7.7,-37.597551,147.228456
HAWTHORN WEST,3122,23.5,82.70731707,-37.822725,145.030602
HAZELWOOD NORTH,3840,159,43.13333333,-38.245215,146.424457
HEATHCOTE SOUTH,3523,59,33.1,-36.837461,144.768359
HEATHERTON,3202,19.5,76.02513966,-37.960555,145.092698
HEATHWOOD,3134,74,84.75815217,-37.823058,145.257929
HEDLEY,3967,34,18.33333333,-38.647562,146.507929
HEIDELBERG WEST,3081,96.5,83.50990099,-37.743008,145.046401
HEXHAM,3273,36,79.8,-37.981249,142.660643
HIAMDALE,3847,73,70.35,-38.166213,146.772991
HIGHETT,3190,49,75.93646409,-37.951394,145.038147
HILLDENE,3660,70.5,52.61538462,-37.03704373,145.0457777
HILLSIDE,3037,27,87.29591837,-37.715579,144.780474
HMAS CERBERUS,3920,17.5,76.578125,-38.38752,145.19304
HODDLE,3959,22,24.5,-38.734636,146.066529
HOLLANDS LANDING,3862,105.5,59,-38.04993542,147.4640889
HOPETOUN GARDENS,3162,10,78.4520202,-37.892139,145.023394
HOPETOUN PARK,3340,140.5,121.56,-37.787135,144.394442
HOPEVALE,3396,4,6,-35.7157,142.329159
HORDERN VALE,3238,179.5,262.375,-38.781787,143.429978
HORFIELD,3567,24,50.7,-35.931669,144.262942
HORSHAM,3400,62.5,15.27777778,-36.725245,142.203729
HOTHAM HILL,3051,4,86.11597938,-37.8006,144.943559
HOUSTON,3128,60,84.23130841,-37.828866,145.122393
HOWITT PLAINS,3858,6,38.5,-37.20631423,146.685872
HOWQUA,3723,7.5,57.25,-36.894465,146.256507
HUNTINGDALE,3166,13,80.88221154,-37.902805,145.089719
HURDLE FLAT,3747,107.5,32.83333333,-36.361056,146.725705
INVERLEIGH,3321,72,321.2,-38.087758,143.88056
IRREWILLIPE,3249,446,168.5555556,-38.388291,143.557159
IRYMPLE,3498,13,36.5,-34.238385,142.172516
IVANHOE,3079,61,84.07211538,-37.772675,145.048573
JARVIS CREEK,3700,4,11.5,-36.335898,147.35527
JEETHO,3945,19.5,64.28125,-38.381582,145.697053
JEFFCOTT,3480,12,24.42857143,-36.31902453,143.1383586
JEFFCOTT NORTH,3480,63,19.35714286,-36.26284609,143.0680468
JERICHO,3825,30.5,26.875,-37.66622391,146.2288747
JERUK,3527,55.5,45.7,-36.00182588,143.4513232
JILPANGER,3401,10,67.21428571,-36.881534,141.940832
JOEL JOEL,3381,8,26.91176471,-36.988914,142.7154
JOEL SOUTH,3381,6,56.07142857,-36.988914,142.7154
JOHNSONVILLE,3902,57,34.75,-37.797042,147.814894
JORDANVILLE,3148,13.5,81.53827751,-37.8736,145.112084
JOYCES CREEK,3364,30,46.1,-37.08856117,143.9880643
JUMBUK,3869,32,35,-38.364689,146.359836
JUNG,3399,16.5,10,-36.608521,142.357023
JUNGABURRA,3575,34,37.8,-36.055725,144.159028
KAARIMBA,3635,47.5,95.4,-36.142596,145.30827
KADNOOK,3318,357,180.1666667,-37.025316,141.269571
KALLISTA,3791,200,98.69911504,-37.896917,145.379622
KALORAMA,3766,57.5,101.2169811,-37.817818,145.384955
KALPIENUNG,3529,4,12.875,-35.824259,143.232677
KANGAROO GROUND,3097,60.5,83.96629213,-37.695254,145.224204
KANIVA,3419,8,55,-36.226015,141.101929
KANYA,3381,2,20.27272727,-36.988914,142.7154
KARDELLA SOUTH,3950,1.5,47.3125,-38.435217,145.812945
KATAMATITE,3649,81.5,60.54545455,-36.082665,145.688671
KATUNGA,3640,5.5,67.92857143,-36.00978,145.486015
KEILOR EAST,3033,224.5,84.31470588,-37.74107,144.857638
KEILOR NORTH,3036,160.5,86.59006211,-37.705324,144.82246
KEILOR PARK,3042,36.5,86.21264368,-37.727529,144.866305
KENNETT RIVER,3221,16,109.8214286,-38.181608,144.427419
KENSINGTON,3031,54.5,88.60789474,-37.79119,144.923403
KEW EAST,3102,19.5,84.81042654,-37.793805,145.05219
KEYSBOROUGH,3173,97,79.56291391,-38.006771,145.164863
KILLARNEY,3283,133.5,37.0625,-38.313434,142.328761
KILMANY,3851,197.5,69.61111111,-38.035548,147.084398
KILSYTH,3137,107,86.284375,-37.819364,145.313346
KINGLAKE WEST,3757,25,130.925,-37.469784,145.182221
KINGOWER,3517,44.5,22.875,-36.483116,143.886832
KINGSTON,3364,8.5,83.375,-37.334655,143.907186
KINGSVILLE,3012,15.5,84.97206704,-37.807135,144.861162
KINYPANIAL,3520,20,54.875,-36.405771,143.810786
KNOCKWOOD,3723,3.5,27.5,-37.42570709,146.2594778
KNOXFIELD,3180,80.5,82.0698324,-37.893263,145.246731
KOETONG,3704,35,24,-36.132613,147.49344
KOONDA,3669,250,160.7727273,-36.625333,145.708668
KOONDROOK,3580,109.5,86.33333333,-35.639761,144.094672
KOONOOMOO,3644,36.5,58.57142857,-35.945353,145.632682
KOONWARRA,3954,27.5,25.26470588,-38.550379,145.937973
KOOROOL,3860,23,63.14285714,-37.72619419,146.9425755
KOROIT,3282,30,38.31818182,-38.268176,142.351658
KOTTA,3565,5.5,38.85714286,-36.182336,144.511713
KUNYUNG,3930,165,78.21052632,-38.195017,145.093743
KURUNJANG,3337,58.5,112.112069,-37.656057,144.571458
KY WEST,3621,44,217.7222222,-36.206055,144.961183
KYABRAM,3619,48,85.48235294,-37.659566,144.936295
KYABRAM SOUTH,3620,65,65.86111111,-36.38493145,145.0857804
KYVALLEY,3621,14,66.26666667,-36.28071633,145.0055758
LA TROBE UNIVERSITY,3083,402,81.79040404,-37.701346,145.056223
LAEN EAST,3480,40,20.28571429,-36.31227,142.968057
LAKE CHARM,3581,90,41.1,-35.628333,143.78521
LAKE EPPALOCK,3551,29,44.66666667,-36.88282226,144.5982185
LAKE HINDMARSH,3423,16,0,-36.13191,141.940764
LAKE MOODEMERE,3685,16,54.8125,-36.056449,146.470638
LAKE TYERS,3887,56,64.125,-37.757895,148.116641
LALOR,3075,77,81.84831461,-37.66607,145.002679
LANGLEY,3444,44,46.84615385,-37.171788,144.544716
LANGWARRIN,3910,138,92.08333333,-38.156369,145.198328
LANGWARRIN SOUTH,3911,121.5,82.42982456,-38.196908,145.169556
